EicCode;EicDisplayName;EicLongName;EicParent;EicResponsibleParty;EicStatus;MarketParticipantPostalCode;MarketParticipantIsoCountryCode;MarketParticipantVatCode;EicTypeFunctionList;type
11X0-0000-0484-J;WAERME_HAMBURG;Hamburger Energiewerke GmbH;;;Active;;;DE280896455;Balance Responsible Party;X
11X0-0000-0490-R;GSE;Goldman Sachs Europe SE;;;Active;;;DE315650189;Trade Responsible Party;X
11X0-0000-0492-L;GSBE;Goldman Sachs Bank Europe SE;;;Active;;;DE112006422;Trade Responsible Party;X
11X0-0000-0497-6;LOKOMOTION;Lokomotion Gesellschaft für Schienentraktion mbH;;;Active;;;DE171122754;Balance Responsible Party;X
11X0-0000-0499-0;KOETHEN-KE;Köthen Energie GmbH;;;Active;;;DE139879688;Balance Responsible Party;X
11X0-0000-0500-L;ALPIQ;Alpiq Energie Deutschland GmbH;;;Active;;;DE320402899;Balance Responsible Party;X
11X0-0000-0507-0;RE-GMBH;RE - Riesen Energie GmbH;;;Active;;;DE319258667;Balance Responsible Party;X
11X0-0000-0518-U;TSR;Engelhart CTP Renewables GmbH;;;Active;;;DE815824732;Balance Responsible Party;X
11X0-0000-0524-1;HARTREE_GERMANY;Hartree (Germany) GmbH;;;Active;;;DE815816513;Balance Responsible Party;X
11X0-0000-0525-Z;ENGIE_;ENGIE Deutschland AG;;;Active;;;DE137171652;Balance Responsible Party;X
11X0-0000-0526-W;RWE-RENEWABLES;RWE Renewables GmbH;;;Active;;;DE321426081;Balance Responsible Party;X
11X0-0000-0527-T;ENGIE_EEMS_GMBH;ENGIE Energy Management Solutions GmbH;;;Active;;;DE324569377;Balance Responsible Party;X
11X0-0000-0529-N;KBN-GROUP;KBN Sustainable Technology GmbH;;;Active;;;DE265349580;Balance Responsible Party;X
11X0-0000-0531-6;UNIGY;Unigy GmbH;;;Active;;;DE325868220;Balance Responsible Party;X
11X0-0000-0541-2;ROTH-ENERGIE;Adolf Roth GmbH & Co. KG;;;Active;;;DE112651052;Balance Responsible Party;X
